Sentence,"buhay - [1: 'buháy', 0: 'búhay']"
Isip niyang ang buhay ay biyahe.,0
Inilibing nang buhay si Yanni.,1
Nababalot ng misteryo ang buhay.,0
Magkatambal din sila sa totoong buhay.,0
Ang lahat ng mga pangyayaring ikinukuwento ng pelikulang ito ay batay sa totoong buhay.,0
Gaano kahaba ang buhay ng isang manananggal?,0
Ang dami ko na pong napagdaanang mga kahiya-hiyang pangyayari sa buhay ko.,0
"Mahal, may higit pa sa buhay kaysa sa obligasyong bumuo ng pamilya at magpalaki ng mga anak.",0
Ang pagkabalisa ay ang pinakamasahol na demonyo ng buhay.,0
Ang dami ko na pong pinagdaanang mga kahiya-hiyang pangyayari sa buhay ko.,0
Magkasintahan din sila sa totoong buhay.,0
Nagdulot ng malaking pagbabago ang imbensyon ng telebisyon sa pang-araw-araw na buhay natin.,0
Ang buhay ay isa pong malaking sirko.,0
Nabago ang buhay ko mula nang nakilala ko siya.,0
Bigyan mo ang bawat araw ng oportunidad na maging pinakamaganda sa buhay mo.,0
Ang pagpapakasal ay isa pong mahalagang kaganapan sa buhay.,0
"Napariwara ang buhay niya, mula nang nagsimula siyang gumamit ng droga.",0
"Mayaman siya, ngunit ang buhay niya'y parang taong nagpapalimos.",0
Walang buhay sa buwan.,0
Iyon ang pinakamagaling na araw sa buhay ko.,0
Ang mga manggagamot ay nagliligtas ng mga buhay.,0
"Walang kuwenta ang buhay ninyong aseksuwal, .",0
Isa lamang itong nakatatakot na palabas. Sa oras na patayin mo ang screen ay tapos na ito. Pero sa buhay... Mananatili ka lamang sa loob nito.,0
Ang tema ng buhay ay di lamang ang kayamanan o kahirapan.,0
Nasa matinding panganib ang mga buhay natin.,0
"Dahil sa virus na iyan, marami pong elepante ang nawalan ng buhay.",0
Iyon ang pinakamalaking pagkakamali ng buhay ko.,0
Iginigiit ng maraming siyentista na hindi lang basta-bastang sumulpot ang buhay sa mundo.,0
Tumira siya rito buong buhay niya.,0
Sobrang hirap talaga ng buhay minsan.,0
Ang mga pusa nila ang mga pinakapangit na pusang nakita ko sa buong buhay ko.,0
Walang buhay nang walang koryente o tubig.,0
Sumakabilang-buhay si Tom noong 2013.,0
Huwag mong ikomplikado ang buhay mo!,0
Hindi sanay si Tom sa buhay sa lungsod.,0
Ibahagi mo sa akin ang kuwento ng buhay mo.,0
Hindi niya alam kung ano ang mahirap na buhay.,0
Ang buhay ay hindi puwedeng pahabain o palawakin. Puwede lang itong palalimin.,0
Ang sikreto sa mahabang buhay ay: piliin mong maigi ang mga magulang mo.,0
Parang buhay pa siya.,1
"Sa tingin mo, buhay pa kaya si Tom?",1
Buong buhay kong hinintay ito.,0
Marami na akong pinagdaanang mga kahiya-hiyang pangyayari sa buhay ko.,0
"Walang nakikita ang mga tao na pag-asang makamit ang kasiyahan sa buhay na ito, kaya likas nila itong hinahanap sa kabilang buhay.",0
Gusto kong akin ka na lang habang buhay.,0
"Sa unang pagkakataon sa kanyang buhay, natapos basahin ni Yuka ang buong aklat sa Ingles.",0
Isasakripisyo ba ninyo ang buhay ng isang tao kung maililigtas nito ang buhay ng marami pang iba?,0
Yan ang pinakamagandang puwit na nakita ko sa buong buhay ko.,0
Ang pinakaimportante sa buhay ay maging basta sarili.,0
"Para magbagong buhay, kailangan 'nyo munang baguhin ang mga paniniwala 'nyo tungkol sa inyong sarili.",0
Nasa matinding panganib ang mga buhay namin.,0
Tingin ko nanganganib ang buhay niya.,0
Napakaimportante ang guni-guni sa araw-araw na buhay.,0
Karaniwang mas mahaba ang buhay ng mga babae kaysa sa mga lalaki.,0
Ang dami ko nang pinagdaanang mga kahiya-hiyang pangyayari sa buhay ko.,0
"Kung walang musika, magiging isang pagkakamali ang buhay.",0
Iginigiit ng maraming siyentipiko na hindi lang basta-bastang sumulpot ang buhay sa mundo.,0
Nasa panganib ang buhay niya.,0
Wala pa akong nakikitang kapareho niyon sa buong buhay ko.,0
Gaano ba kahaba ang buhay ng mga paruparo?,0
Ang mga kababaihan mula sa iba't-ibang panahon at lugar ay naaapi sa maraming aspsekto ng buhay.,0
Sinasabi mo bang nanganganib ang buhay ko?,0
Maganda ang buhay dahil mayroong ikaw.,0
Sa kalawakan ng Laniakea ay baka may maraming bagay na may buhay.,0
Ang itlog ay ang pandaigdigang simbolo ng buhay at muling pagkasilang.,0
"Si ""Ate Charing ang Reyna ng Timog Korea"" ay popular sa Sosyal Media dahil sa mga bidyo niya tungkol sa buhay sa bukid sa Cebu.",0
Ako ang mortal mong kaibigan at gusto kong sirain ang buhay mo.,0
Binabangungot si Tom gabi-gabi buong buhay niya.,0
Ikuwento mo sa akin ang istorya ng buhay mo.,0
Nailibing nang buhay si Layla.,1
Gaano kahaba ang buhay ng paruparo?,0
Siyam ang buhay ng pusa.,0
Binigay niya ang buhay niya para sa kanyang bansa.,0
Marami na akong napagdaanang mga kahiya-hiyang pangyayari sa buhay ko.,0
Nagbagong-buhay na ako.,0
Ako ang kaibigan mong mortal at gusto kong sirain ang buhay mo.,0
Ang okupasyon ko sa pangarap ay maging eksobiyolohista o astrobiyolohista. Naniniwala ako sa buhay sa labas ng Tiyera.,0
Ang kalikasan ng buhay ay pagulung-gulong.,0
"Sa ibang planeta, baka may buhay na basado sa silikon at hindi sa karbon.",0
"Dahil sa virus na iyon, maraming elepante ang nawalan ng buhay.",0
Ang pagpapakasal ay isa pong mahalagang pangyayari sa buhay.,0
Wala pa akong nakikitang kapareho nito sa buong buhay ko.,0
Wala pa akong nakikitang kagaya nito sa buong buhay ko.,0
"Kung papakainin mo nang tama ang aso mo, mapapahaba mo ang kanyang buhay.",0
Ikaw ang pinakaimportanteng tao sa buhay ko.,0
"Nagpapasalamat ako kay Ate Charing ""ang Reyna ng Timog Korea"" para sa mga bidyo niya, dahil nakikita ko ang magandang buhay sa bukid sa Cebu.",0
Panspermia ang teoriya na ang buhay ay galing sa bumagsak na bagay na galing sa kalawakan at galing sa kalawakan ang buhay.,0
"Sa punto pong ito ng buhay ko, nakita ko na ang lahat.",0
Alam mo bang ang pag-uusap ay isa sa mga pinakagaling na kaluguran sa buhay?,0
Alam kong buhay si Tom.,1
Huwag ka nang mag-alala tungkol sa buhay ko.,0
Nagbagong-buhay na siya.,0
Talagang babae ka dahil parati kang nadidipres sa buhay mo.,0
Nasa panganib ang buhay ninyo.,0
Walang bagay sa buhay ang panghabang-buhay.,0
Magkasintahan din sila sa tunay na buhay.,0
Siya ang may pinakamagandang puwet na nakita ko sa buong buhay ko.,0
Maraming buhay ang nawala.,0
Ang buhay ay dakilang hiwaga.,0
Hindi pa ako nakakita ng isang Trol na Moomin sa totoong buhay.,0
"Pagulung-gulong ang buhay, katulad ng mga panahon.",0
Isang beses pa lang ako nakakakita ng bahaghari sa buong buhay ko.,0
Naniniwala sila sa buhay pagkatapos ng kamatayan.,0
Marami na akong pinagdaanan sa buhay ko.,0
Ang buhay sa Tiyera ay basado sa elementong karbon at baka iba sa ibang planeta.,0
Pinaguho ang buhay ko ng isang hindi inaasahang pangyayari.,0
"Sigaw ng Mama, ""Para silang bumbilya!"" Ang isip niya'y ang tao'y walang kabilang buhay pagka namatay na, parang pundidong bumbilya.",0
Ang buhay ay ikaw na lumilikha.,0
Simple lamang ang buhay ni Og.,0
Gusto kong malaman kung bakit mas mahaba ang buhay ng mga babae kaysa sa mga lalaki.,0
Wala pa akong nakikitang kagaya niyon sa buong buhay ko.,0
Habang buhay kitang mamahalin.,0
Ang nakakaaburido sa buhay ay ang pagkawala ng motibasyon.,0
Iginigiit ng maraming siyentista na hindi lang basta-bastang sumulpot ang buhay sa lupa.,0
Sinabi niya sa akin ang istorya ng buhay niya.,0
Gumagamit si Francisco ng mga matatalinhagang ekspresyon sa araw-araw na buhay.,0
Ang pagpapakasal ay isa pong importanteng pangyayari sa buhay.,0
"Talagang malawak ang sansinukob. Ang mga bituwin, planeta, at buwan ay parang nagkalat na buhangin. Ang Tiyera natin ay isang butil ng buhangin. Matematikang probabilidad na may buhay sa ibang lugar.",0
Nawala na ang salamangka sa buhay ninyo.,0
"Nabuwibuwisit na kayo sa buhay ninyo, .",0
"Sa madaling salita, ang lahat ng bagay sa buhay ay tadhana.",0
Sumakabilang-buhay siya pagkatapos nang mahabang pagkakasakit.,0
Sana hindi ka magkaproblema sa buhay mo kahit kailan.,0
"Kung mamatay man ang araw, lahat ng buhay ay mamatay.",0
Ang kalusugan ang pinakaimportante sa buhay ng tao.,0
"Sa kinabukasan, baka may bagong ekolohiyang kinakabilangan ng halaman, hayop, tao, ibang buhay, at Artipisyal na Intelihensiya, AI.",0
Buhay na buhay ang mga pusa sa gabi.,1
Naghahanap-buhay siya.,0
Kontento na ba siya sa buhay niya?,0
Itinaya niya ang kanyang buhay para magampanan ang kanyang tungkulin at nagbigay siya ng inspirasyon sa mga opisyal ng kapulisan saanman.,0
Madalas ikumpara ang buhay sa isang biyahe.,0
Hindi makatarungan ang buhay.,0
Ang dami ko nang napagdaanang mga kahiya-hiyang pangyayari sa buhay ko.,0
"Heto ang aking blog, na magpapakilala sa akin at maghahayag ukol sa aking pang-araw-araw na buhay.",0
Ang buhay kung walang pag-ibig ay walang kabuluhan.,0
Pag-aaral ng buhay ng hayop ang zoolohiya.,0
Ang pagpapakasal ay isang mahalagang kaganapan sa buhay.,0
"Para magbagong buhay, kailangan mo munang baguhin ang mga paniniwala mo tungkol sa iyong sarili.",0
Ginagawa ni Tom ang lahat ng makakaya niya para pabutihin ang kalidad ng buhay ng kanyang mga pasyente.,0
Hindi madali ang buhay.,0
Sinasabing buhay pa rin siya.,1
Delikado ang buhay ng pasyenteng ito.,0
"Dahil sa virus na iyan, maraming elepante ang nawalan ng buhay.",0
Ang mga pusa ninyo ang mga pinakapangit na pusang nakita ko sa buong buhay ko.,0
Ang buhay ay ikaw na gumagawa.,0
Puwedeng magtulungan ang mga tao at ang mga robot para paginhawain ang buhay.,0
Buong buhay ko nang ginagawa ito.,0
Ikaw ang pinakamahalagang tao sa buhay ko.,0
Isa lamang ang kanyang mithiin sa buhay: ang magkaroon ng pera.,0
Iniligtas ng bagong gamot ang kanyang buhay.,0
Nanatiling binata si Tom buong buhay niya.,0
"Ika-14 ng Hulyo ng 2017 ngayon. Sa sansinukob, marami sigurong mga daigdig na may mababang klaseng buhay, bilang ang mga amag at lumot. Baka walang intelihenteng buhay doon.",0
Ang mga maliliit na bagay sa buhay ay ang pinakamahalaga.,0
Ang mga pusa mo ang mga pinakapangit na pusang nakita ko sa buong buhay ko.,0
"Kung may buhay, may pag-asa.",0
Walang mas nakakasira sa buhay kaysa sa masyadong maagang mag-edyakyuleyt.,0
Inialay ng kanyang ama ang kanyang buhay sa siyensiya.,0
"Sa tingin 'nyo, buhay pa kaya si Tom?",1
Isip niyang bagay iyon sa buhay at kamatayan.,0
"Kung may mahanap na buhay na parang bakterya lamang, katulad sa Marte, parang mahika na yaong bagay. Sa sansinukob, ang ganoong klaseng bagay ay marahil tuktok ng aysberg lamang.",0
Ang ating paligid ang nagtatakda sa ating mga buhay.,0
Nakita ko kung paano mo iniligtas ang buhay ni Tom.,0
Bigyan mo ng pagkakataon ang bawat araw na maging ang pinakamagandang araw ng buhay mo.,0
Iginigiit ng maraming siyentipiko na hindi lang basta-bastang sumulpot ang buhay sa lupa.,0
Isasakripisyo mo ba ang buhay ng isang tao kung maililigtas nito ang buhay ng marami pang iba?,0
Nanganganib ang buhay mo.,0
Sumakabilang-buhay ang tatay ko noong labintatlong taong gulang ako.,0
Ang mga maliliit na bagay sa buhay ay ang pinakamakabuluhan.,0
Gusto kitang makasama habang buhay.,0
Huwag mong iguhit ang buhay mo sa paghihintay ng gera.,0
May puwang ang buhay ko kung wala siya.,0
"Sa sansinukob, baka ang mas mahirap hanaping buhay ay may intelihensiyang katulad ng baboy o tao.",0
"Singkretista akong Animista-Budista. Mahilig ako sa astronomiya, potograpiya, biyolohiya, pagkain, anime, wikang guni-guni, at siyensiyang piksiyon. Bahaghari ang naging buhay ko.",0
Nailibing si Tom nang buhay.,1
Nanganganib ang buhay niya.,0
Walang kumplikto sa agham at relihiyon sa akin kung ang Diyos ay instrumental sa pag-aayos ng ebolusyon ng buhay. Sabi ko ito kay Greg sa tsaahan noong ika-14 ng Disyembre ng 2022.,0
Inilibing nang buhay si Layla.,1
Walang araw at ang buhay ay imposible.,0
Sinasabi mo bang nasa peligro ang buhay ko?,0
Ikaw ang buhay ko at ang lahat ng gusto at kailangan ko.,0
Labing-walong taong gulang ang sumakabilang-buhay.,0
Primitibong buhay lamang iyan.,0
Dapat mag-aral ka nang iyong buong buhay.,0
"Baka nga ang ibang ""buhay"" sa kosmos ay postbiyolohiko o lampas ng biyolohiya. Mga makina siguro sila.",0
Magbagong-buhay na tayo.,0
"Ang huling aklat na binabasa ng aking ama sa kanyang pagkamatay ay tungkol sa mga pagbabalik ng nakaraang buhay, Buhayin ang Iyong mga Nakaraang Buhay, ni Karl Schlotterbeck.",0
Kontento na siya sa buhay niya.,0
"Gumagawa si Favián Lameda ng mga kawili-wiling bidyo sa wikang Espanyol sa Sosyal Media tungkol sa buhay sa San Pedro de la Cueva, Sonora, Mexico.",0
Nanganganib ang buhay ninyo.,0
Ang eksobiyolohiya ay ang pag-aaral ng buhay sa espasyo.,0
Lahat ay may nais na intelektuwal; ang akin ay takasin ang buhay na alam ko.,0
