Sentence,"galit - [0: 'galít', 1: 'gálit']",,
Hindi nagawang kontrolin ni Tom ang kanyang galit.,1,50,Tom was unable to control his anger.
Hindi naintindihan ni Tom ang galit ni Mary.,1,44,Tom did not understand Mary's anger.
Hindi naitago ni Tom ang kanyang galit.,1,39,Tom couldn't hide his anger.
Hindi nakontrol ni Tom ang kanyang galit.,1,41,Tom couldn't control his anger.
Hindi napigilan ni Tom ang kanyang galit.,1,41,Tom couldn't control his anger.
Hirap akong kontrolin ang galit ko.,1,35,I have a hard time controlling my anger.
Huhupa rin ang tampo at galit sa paglipas ng panahon.,1,53,The slap and anger will also subside over time.
"Huwag mo nang pansinin si Mirabel! ""Alam mong galit siya, Ronny!""",0,65,"Don't even notice Mirabel! ""You know he's angry, Ronny!"""
Ikaw ay napakaganda kapag galit.,0,32,You are so beautiful when angry.
Iniiwasan ko siya kapag pabugso-bugso ang galit niya.,0,53,I avoid her when she's angry.
Inilabas ni Tom ang galit niya kay Mary.,1,40,Tom released his anger at Mary.
Inilalabas ko lang ang galit ko.,1,32,I'm just bringing out my anger.
Inudyok ng ispiker ang galit ng mga tagapakinig.,1,48,The speaker motivated the anger of the audience.
Itinago ni Tom kay Mary ang kanyang galit.,1,42,Tom hid Mary his anger.
Iwasan mo na lang siya kapag alam mong pabugso-bugso ang galit niya.,1,68,Just avoid him when you know his anger is broken.
"Kahit humingi siya ng tawad, galit pa rin ako.",0,46,"Even though he apologized, I was still angry."
Kailangan mong matutunang kontrolin ang galit mo.,1,49,You need to learn to control your anger.
Kailangang matutunan ni Tom kung paano kontrolin ang kanyang galit.,1,67,Tom needs to learn how to control his anger.
Kalimitang ang isang lalaking galit sa bakla ay isa rin lamang nagtatagong bakla.,0,81,Usually a man who is angry with gay is just a hidden gay.
"Kapag galit ka, magbilang ka hanggang apat. Kapag galit na galit ka, magmura ka.",0,80,"When you are angry, count up to four. When you're mad, you swear."
"Kapag may tampo ang isang tao, ibig sabihin ba niyon, galit siya?",0,65,"When a person has a slap, does that mean, is he angry?"
Kumuha si Tom ng kurso para sa pagkontrol ng galit.,1,51,Tom took a course for controlling anger.
Mahirap kontrolin ang galit.,1,28,It is difficult to control anger.
Malamang na galit sa akin ang aking kaibigan dahil hindi niya ako kinikibo.,0,75,My friend is probably angry with me because he's not active.
May galit siya sa akin.,1,23,He was angry with me.
May ginawa ba ako para galitin si Tom?,0,38,Did I do anything to angry with Tom?
May kinuha pong kurso si Tom sa pagkontrol ng galit.,1,52,Tom took a course in controlling anger.
May kinuhang kurso si Tom sa pagkontrol ng galit.,1,49,Tom took a course in controlling anger.
"Maya-maya, ang pagkagutom nila ay naging galit.",1,47,"Suddenly, their hunger became angry."
Medyo galit yata si Tom.,0,24,Tom is a bit angry.
Mukhang galit ka pa rin.,0,24,You still seem angry.
Mukhang galit si Tom.,0,21,Tom looks angry.
Nabigla kami sa tindi ng galit ng nanay namin.,1,46,We were shocked at the intensity of our mother's anger.
Nabigla tayo sa tindi ng galit ni nanay.,1,40,We were shocked at the intensity of Mom's anger.
Nagmukhang galit si Grace.,0,26,Grace looked angry.
Nagulat kami sa tindi ng galit ng nanay namin.,1,46,We were surprised at how angry our mother was.
Nagulat tayo sa tindi ng galit ni nanay.,1,40,We were surprised at the intensity of Mom's anger.
Naiintindihan ko ang galit mo.,1,30,I understand your anger.
Naiintindihan ko ang galit ninyo.,1,33,I understand your anger.
Nakikita ang galit sa mukha niya.,1,33,Seeing anger on his face.
Nakontrol ni Tom ang kanyang galit.,1,35,Tom controlled his anger.
Namula sa galit ang mukha ni Tom.,1,33,Tom's face blushed in anger.
Nanginginig ang boses niya sa galit.,1,36,Her voice trembled with anger.
Nawala ang galit ni Tom.,1,24,Tom lost his anger.
Pabugso-bugso ang galit niya.,1,29,His anger was broken.
Palagi ba talagang magkasama ang tampo at galit?,1,48,Is it always really bad and anger?
Palaging pagalit ang ekspresyon ng mukha niya kahit hindi naman siya galit.,0,75,The expression on his face was always angry even though he was not angry.
"Para sa mga Budista, ang galit at poot ay mga karumihan.",1,56,"For Buddhists, anger and hostility are uncleanness."
Parang galit si Tom.,0,20,Tom looks angry.
Parang galit sila sa isa't isa.,0,31,They seem to be angry with each other.
Parang hindi na makontrol ni Tom ang kanyang galit.,1,51,It was as if Tom could no longer control his anger.
Sabihin mong galit ako sa kanya.,0,32,Say I hate him.
Sinubukan ni Tom na itago ang kanyang galit.,1,44,Tom tried to hide his anger.
Sinubukan ni Tom na kontrolin ang kanyang galit.,1,48,Tom tried to control his anger.
Yun ang unang beses na nakita ko si Tom na sobrang galit.,0,57,That was the first time I saw Tom so angry.
