Sentence,"kaya - [0: 'kayà', 1: 'kayâ', 2: 'káya']",,
"Ano kaya kung ang antigong Budista-Hindung Srivijaya ay tumuloy sa modernong panahon, at naging parte ang Pilipinas?",1,,"What if the Buddhist-Buddhist Srivijaya continued in modern times, and the Philippines became a part?"
Ano kaya kung araw-araw ay Sabado?,1,,What if every day is Saturday?
Ano kaya kung imbitahin si Meg sa party?,1,,What if Meg was invited to the party?
Ano kaya kung imbitahin si Meg sa party?,1,,What if Meg was invited to the party?
Ano kaya kung imbitahin si Meg sa party?,1,,What if Meg was invited to the party?
Ano kaya kung imbitahin si Meg sa party?,1,,What if Meg was invited to the party?
Ano kaya kung mali sya?,1,,What if he was wrong?
Ano kaya kung pumunta sa sine?,1,,What if you go to the movie?
Ano kaya kung pumunta sa sine?,1,,What if you go to the movie?
Ano kaya kung pumunta sa sine?,1,,What if you go to the movie?
Ano kaya kung pumunta sa sine?,1,,What if you go to the movie?
Ano kaya sa tingin niya ang ginagawa niya?,1,,What does he think he is doing?
Ano pa kaya ang pwede mong ibigay sa akin na wala pa ako?,1,,What else can you give me without me?
Ano sa tingin mong kaya kong gawin para kay Tom?,2,,What do you think I can do for Tom?
At paano kaya kung mag-apon kami ng bata?,1,,And what if we had a kid?
At paano kaya kung mag-apon tayo ng bata?,1,,And what if we had a kid?
"Ayaw ko nang makita uli ang pagmumukha ng lalaking iyon, kaya pinagpupunit at sinunog ko ang lahat ng mga litrato ng gagong iyon.",1,,"I didn't want to see that guy's face again, so I burn and burns all the pictures of that guy."
"Ayaw ko nang makita uli ang pagmumukha ng lalaking iyon, kaya pinagpupunit at sinunog ko ang lahat ng mga litrato ng ungas na iyon.",1,,"I didn't want to see that guy's face again, so I burn and burns all the pictures of that idiot."
"Ayaw ko ng inihaw na isda, ano pa kaya ang hilaw na isda.",1,,"I don't like roasted fish, what a raw fish."
"Ayaw ko pong magkaroon ng sipon, kaya hindi ako lumabas.",1,,"I didn't want to have a cold, so I didn't go out."
"Ayaw ko pong magkasipon, kaya hindi ako lumabas.",1,,"I didn't want to get together, so I didn't go out."
"Ayaw kong magkaroon ng sipon, kaya hindi ako lumabas.",1,,"I didn't want to have a cold, so I didn't go out."
"Ayaw kong magkasipon, kaya hindi ako lumabas.",1,,"I didn't want to get together, so I didn't go out."
Ayaw maligo ni Tom kaya napakabaho at napakarusing na nito.,1,,Tom didn't want to bathe so it was so work and it was so bad.
"Ayaw niya pong pumasok, kaya hinila niya ang buhok niya at kinaladkad siya papasok.",1,,"She didn't want to come in, so she pulled her hair out and dragged her in."
"Ayaw niyang magmukmok, kaya nalabas siya ng bahay miski na taglamig.",1,,"He didn't want to go down, so he got out of the house winter."
"Ayaw niyang pumasok, kaya hinila niya ang buhok niya at kinaladkad siya papasok.",1,,"She didn't want to go in, so she pulled her hair out and dragged her in."
"Ayon sa Shinto, sa kamatayan ng tao, may ilang posibleng destinasyon: sa malayong kabila ng karagatang may buhay-bata, sa di kitang mundong astral, sa mundo-ilalim, o kaya sa kabundukan para magguwardiya ng buhay pang pamilya. Sa Shinto, ang paniwala ay may posibilidad na ang tao ay maging ""kami."" Marami ang kami at kung tawagin minsan ay ""kamigami."" Kung minsan, ang tawag ng mga Hapones sa Diyos ay ""Kami-sama."" Malimit din ang kami ay espiritu o anito, di lamang diyos, ang ibig sabihin.",1,,"According to Shinto, in human death, there are some possible destinations: Far from the child's ocean, in the world of astral, in the world-under, or in the mountains to preserve family life. In Shinto, the notion tends to be the person to be ""us."" We have a lot and sometimes call it ""Kamigami."" At times, the Japanese calls God ""we are together."" We are also often spirit or here, not just God, that means."
Babagsak kaya siya sa pagsusulit?,1,,Will he drop the test?
Babalik ako bukas kung kaya ko.,2,,I'll be back tomorrow if I can.
"Baka ang Artipisyal na Intelihensiya, ang AI, ay magiging kaibigan ng tao at proprotektahin tayong tao. O kaya, magiging kalaban sila.",1,,"Perhaps artificial intelligence, AI, will be human friend and we will protect people. Or, they will be an enemy."
Baka kaya kayong tulungan ni Tom.,2,,Maybe Tom can help you.
Baka kaya nila kaming tulungang makahanap ng lunas.,1,,They may help us find a cure.
Baka kaya nila tayong tulungang makahanap ng lunas.,2,,Maybe they can help us find a cure.
Baka kaya pong ipaliwanag ni Tom kung ano ang nangyari rito.,2,,Tom might be able to explain what happened here.
Bakit ba pumayag si Tom na gawin iyan kung alam niya namang hindi niya kaya?,2,,Why would Tom agree to do that if he knew he couldn't?
Bakit ba pumayag si Tom na gawin iyon kung alam niya namang hindi niya kaya?,2,,Why would Tom agree to do that if he knew he couldn't?
Bakit hindi na lang kaya kami maghintay hanggang sa Oktubre?,1,,Why can't we just wait until October?
Bakit kaya ako hindi tinawagan ni Tom?,1,,Why didn't Tom call me?
Bakit kaya ang mura nito?,1,,Why is it so cheap?
Bakit kaya ang mura-mura nito?,1,,Why is it so cheap?
Bakit kaya bad trip si Tom?,1,,Why is Tom a bad trip?
Bakit kaya ginagawa ni Tom iyan?,1,,Why is Tom doing that?
Bakit kaya gusto mong gawin ang mga ganyang bagay?,1,,Why do you want to do such things?
Bakit kaya gusto mong gawin ang mga ganyang bagay?,1,,Why do you want to do such things?
Bakit kaya gusto mong gawin ang mga ganyang bagay?,1,,Why do you want to do such things?
Bakit kaya gusto mong gawin ang mga ganyang bagay?,1,,Why do you want to do such things?
Bakit kaya hindi ka mag-aplay sa trabahong iyan?,1,,Why don't you apply for that job?
Bakit kaya hindi kami maghati ng kuwarto?,1,,Why don't we split a room?
Bakit kaya hindi lumiliit ang mga tupa sa ulan?,1,,Why don't the sheep in the rain do not diminish?
Bakit kaya hindi magkasundo sina Tom at Mary?,1,,Why can't Tom and Mary agree?
Bakit kaya hindi mo aplayan ang trabahong iyan?,1,,Why don't you apply for that job?
Bakit kaya hindi tayo lumabas ng bansa para naman maiba?,1,,Why don't we leave the country to make a difference?
Bakit kaya hindi tayo maghati ng kuwarto?,1,,Why don't we split a room?
Bakit kaya hindi tayo pumunta kung saan nang magkasama?,1,,Why don't we go somewhere together?
Bakit kaya hindi tumawag sa akin si Tom?,1,,Why didn't Tom call me?
Bakit kaya kami tinitingnan ni Tom?,1,,Why is Tom looking at us?
Bakit kaya laging nasa Tatoeba sina Tom at Mary?,1,,Why is Tom and Mary always in Tatoeba?
Bakit kaya naaakit ang mga gamugamo sa artipisyal na ilaw?,1,,Why are moths attracted to artificial light?
Bakit kaya naaakit ang mga gamugamo sa artipisyal na liwanag?,1,,Why are the moths attracted to artificial light?
Bakit kaya nakanganga ang mga babae habang mine-make-upan nila ang mga mata nila?,1,,Why are women so giggling as they make their eyes?
Bakit kaya nakanganga ang mga babae kapag mine-make-upan nila ang mga mata nila?,1,,Why are women so surprised when they make their eyes?
Bakit kaya nakatingin sa amin si Tom?,1,,Why is Tom looking at us?
Bakit kaya nakatingin sa atin si Tom?,1,,Why is Tom looking at us?
Bakit kaya nakatingin sa atin si Tom?,1,,Why is Tom looking at us?
Bakit kaya nakatingin sa atin si Tom?,1,,Why is Tom looking at us?
Bakit kaya nakatingin sa atin si Tom?,1,,Why is Tom looking at us?
Bakit kaya niya ginawa iyon?,1,,Why did he do that?
Bakit kaya tayo tinitingnan ni Tom?,1,,Why does Tom look at us?
Bakit kaya tayo tinitingnan ni Tom?,1,,Why does Tom look at us?
Bakit kaya tayo tinitingnan ni Tom?,1,,Why does Tom look at us?
Bakit kaya tayo tinitingnan ni Tom?,1,,Why does Tom look at us?
Bakit kaya walang nagtatanong?,1,,Why is no one asking?
Binayaran lang ang buong madla kaya sila nagpalakpakan.,1,,The whole audience was just paid so they applauded.
"Binibigyang diin sa Zen ang di-logosentrikong pag-iisip o kaya pag-iisip na hindi sentro ang mga salita. Ginagamit ang mga paradohang imahen. Kung may salita, ginagamit ang mga kōan, paradohang pangungusap o tanong, sa meditasyon para wasakin ang rasyonalidad.",1,,"Zen emphasizes non-local thinking or thinking that words are not center. Paradighay images are used. If there is a word, the kōan, paradighas or questions, are used in meditation to destroy rationality."
"Binilhan niya siya ng aso. Kaso, alerdyik siya sa mga aso, kaya kinailangan nila itong ipamigay.",1,,"He bought him a dog. Case in point, he was an allergic to dogs, so they had to give it a go."
"Binilhan niya siya ng aso. Kaya lang, alerdyik siya sa mga aso, kaya kinailangan nila itong ipamigay.",1,,"He bought him a dog. So, he was allergic to dogs, so they had to give it to him."
"Bukod dito, kaya kong lumipad.",2,,"Moreover, I could fly."
"Bukod dito, kaya kong lumipad.",2,,"Moreover, I could fly."
"Bukod dito, kaya kong lumipad.",2,,"Moreover, I could fly."
"Bukod dito, kaya kong lumipad.",2,,"Moreover, I could fly."
"Bumabagyo kasi, kaya wala na kaming ibang magagawa kung hindi manatili sa bahay.",1,,"It was stormy, so we could do nothing but stay home."
"Bumabagyo kasi, kaya wala na tayong ibang magagawa kung hindi manatili sa bahay.",1,,"It was stormy, so we could do nothing but stay home."
"Bumili ako ng flashlight, kaya lang nakalimutan ko pong bumili ng baterya.",1,,"I bought a flashlight, so I just forgot to buy a battery."
"Bumili ako ng flashlight, kaya lang nakalimutan kong bumili ng baterya.",1,,"I bought a flashlight, so I just forgot to buy a battery."
"Bumili ako ng plaslayt, kaya lang nakalimutan ko pong bumili ng baterya.",1,,"I bought plaslayt, so I just forgot to buy a battery."
"Bumili ako ng plaslayt, kaya lang nakalimutan kong bumili ng baterya.",1,,"I bought plaslayt, so I just forgot to buy a battery."
Bumisita ka nga kaya sa amin kung minsan sa bakasyon.,1,,You can even visit us sometimes on vacation.
Buti pa kaya ay iwan mong mag-isa si Tom.,1,,Fortunately you would leave Tom alone.
"Dalawang beses ako pumunta sa pizzeria rito sa Isla Lulu nitong ika-27 ng Agosto ng 2023, sa umaga at sa hapon. Nang punta ko sa hapon, nakita ko sa daan ang mga kapitbahay kong si Derek na Pilipino at si George na Tsipreng Griyego. Nakabalik na raw ang Haponesang asawa ni George na si Chika at ang bunso nilang si Anna nang bakasyon sa Tokyo. Sabi ko kina George at Derek na ""malaking makulay-kulay na siyudad"" ang Tokyo, kung saan ay nanirahan ko na nang ilang taong nakalipas. Nabisita na ni George din nang mga dalawang dekada ang nakalipas na. Yaong panganay nilang si Chloe ay nagtratrabaho nitong taon kaya hindi nakapunta. Sabi ko kina Derek at George na ""Taylandes at Hapones na pagkain"" ang sa mga ""paborito"" ko. Sa daang lakad ko palapit na sa pizzeria, may Pilipinong hubad at nakakortong itim na nagdya-jogging. Muskulado siya. Sa ibang tema, ang grupong VXW ay ang mga hepeng wikang guni-guni ko, mga prototipong ang Vling, Xoqolat, at Weena. Ang Vling, yaong Narangha, ay may katangian nang Oryental na may tono. Ang Xoqolat, yaong Tsokolate, ay may katangian nang Greko-Latino. Ang Weena, yaong Mapulang Bonsai, ay ang nagprepreserba ng mana ng Oryental na kaligrapiyang may reduksiyon ng mga sinograma.",1,,"I went to Pizzeria twice here on Island Lulu on August 27th of 2023, in the morning and in the afternoon. When I arrived in the afternoon, I saw my neighbors Derek and George the Greek chipper. George's Japanese wife Chika and their youngest Anna are back on vacation in Tokyo. I told George and Derek that Tokyo was a ""big colorful city"", which I have lived in a few years. George also visited about two decades ago. Their eldest son Chloe was working this year so they couldn't go. I told Derek and George that ""Thailandes and Japanese foods"" were my ""favorites"". As I walked closer to pizzeria, there was a nude and a grown black-jogging. He is a muscular. In other themes, the VXW group is the language I hate, Vling, Xoqolat, and Weena's prototypes. Vling, which is amazed, has an oriental characteristic with a tone. Xoqolat, the chocolate, has a Greek characteristic. Weena, the red bonsai, is the one who preserves the inheritance of the oriental calligraphy of the symbols."
Dalhan mo ba kaya ako ng kumot?,1,,Can you bring me a blanket?
Dapat maayos ang kuwarto mo nang kaya mong maayos.,2,,Your room should be fixed when you can well.
"Dapat tumawid tayo nang ilog. ""Ano kaya ang mga kabayo?""",1,,"We must cross the river. ""What are the horses?"""
"Di artista ang mga ninuno nila, kaya di estetiko ang mga ispeling sa wika nila.",1,,"Their ancestors are not artists, so their language spells are not aesthetic."
Di kaya ng pondo natin ang ganyang luho.,2,,Our funds cannot afford such luxury.
"Di sapat ang realidad sa karamihan; kaya, kailangan nila ng guni-guni.",1,,"The reality is not enough for the majority; So, they need a hallucination."
Gaano kaya ito kapermanente?,1,,How much is it like?
Gaano kaya katagal sa tingin mo hanggang matapos natin?,1,,How long do you think until we finish?
Gaano kaya katagal?,1,,How long has it been?
"Gabi na talaga, kaya kailangan ko na matulog.",1,,"It's really late, so I need to sleep."
Gagawin 'yan ni Tom kung kaya.,1,,Tom will do that if so.
Gagawin ko ito kung kaya ko lang.,2,,I'll do it if I can.
Gagawin ko kung kaya ko.,2,,I'll do it if I can.
Gagawin niya ito kung kaya niya lang.,1,,He would do it if he could.
"Galante siya, kaya sumama tayo sa kanya.",1,,"He was a jerk, so let's go with him."
"Gayunpaman, sa tingin ko kaya pa naming ayusin ang sitwasyon.",2,,"However, I think we can still fix the situation."
"Gayunpaman, sa tingin ko kaya pa nating ayusin ang sitwasyon.",2,,"However, I think we can fix the situation."
"Ginawa niya na ang lahat para mabuhay, kaya naman ayaw niya itong pag-usapan.",1,,"He did everything he could to live, so he didn't want to talk about it."
"Gusto ko pa sanang manatili rito at makipagkuwentuhan, kaya lang kailangan ko pong pumunta sa konsiyerto kung saan tutugtog ang anak ko.",1,,"I still want to stay here and talk, so I just have to go to the concert where my son plays."
"Gusto ko pa sanang manatili rito at makipagkuwentuhan, kaya lang kailangan kong pumunta sa konsiyerto kung saan tutugtog ang anak ko.",1,,"I still want to stay here and talk, so I just have to go to the concert where my son plays."
"Gusto ko pong bumili ng bagong laptop, kaya lang wala akong pera.",1,,"I want to buy a new laptop, so I just have no money."
"Gusto ko sana siyang yayain, kaya lang naunahan ako ng kaibigan niya.",1,,"I wish I could cheat on him, so his friend just came ahead of me."
"Gusto kong bumili ng bagong laptop, kaya lang wala akong pera.",1,,"I want to buy a new laptop, so I just have no money."
"Gusto kong bumili ng bagong laptop, kaya lang wala akong pera.",1,,"I want to buy a new laptop, so I just have no money."
"Gusto kong bumili ng bagong laptop, kaya lang wala akong pera.",1,,"I want to buy a new laptop, so I just have no money."
"Gusto kong bumili ng bagong laptop, kaya lang wala akong pera.",1,,"I want to buy a new laptop, so I just have no money."
Gusto niyang maging parang simpleng driptwud kaya nag-aral siya ng Dao.,1,,He wanted to be a simple dripptwud so he studied Dao.
Gutom ako kaya kinain ko ang natirang ulam.,1,,I was so hungry that I ate the leftover dish.
Gutom ako kaya kukuha ako ng makakain.,1,,I'm hungry so I'll get something to eat.
Gutom na gutom ako kaya inubos ko ang isang kalderong kanin.,1,,I was so hungry that I ran out of a calf rice.
"Guwapo ka naman, kaya lang mukha kang kontrabida.",1,,"You're so handsome, so you're just a villain."
Ha. Para kanino kaya iyan?,1,,Ha. To whom is that?
Ha. Para kanino kaya iyon?,1,,Ha. To whom is that?
Habulin mo kaya ako!,1,,You can chase me!
Hanggang labing-isa lang ang kaya kong kaining kwek-kwek.,2,,I can only eat only eleven.
"High school pa lamang ay sila na ng kasintahan niya, ngunit nararamdaman niya na wala nang nangyayari sa pagsasama nila kaya hindi na siya masaya.",1,,"She was just in high school with her boyfriend, but she felt that nothing was going on with them so she was no longer happy."
Higit pa iyan sa kaya kong tiisin.,2,,That's more than I can tolerate.
Higit pa iyon sa kaya kong tiisin.,2,,That's more than I can tolerate.
Higit pa rito ang kaya mo.,2,,You can do more than that.
Higit pa riyan ang kaya mo.,2,,That's more than that.
Higit pa roon ang kaya mo.,2,,You can do more.
"Hindi ako nag-iisip, kaya hindi ako makasunod.",1,,"I don't think so, so I can't obey."
"Hindi ako nag-iisip, kaya hindi ako makasunod.",1,,"I don't think so, so I can't obey."
"Hindi ako nag-iisip, kaya hindi ako makasunod.",1,,"I don't think so, so I can't obey."
Hindi ako naniniwalang kaya iyang gawin ni Tom.,2,,I don't believe that Tom can do it.
Hindi ako naniniwalang kaya iyong gawin ni Tom.,2,,I don't believe that Tom will do it.
"Hindi ito ang una mong wika, kaya hindi kailanman magiging tumpak ang pagbigkas mo.",1,,"This is not your first language, so your pronunciation will never be accurate."
"Hindi ito ang una ninyong wika, kaya hindi kailanman magiging tumpak ang pagbigkas ninyo.",1,,"This is not your first language, so your pronunciation will never be accurate."
"Hindi ka nagsisipilyo, kaya kulang-kulang tuloy ang ngipin mo.",1,,"You do not brush, so your teeth are lacking."
"Hindi ka Negro, kaya hindi mo puwedeng sabihin ang salitang iyon.",1,,"You're not a negro, so you can't say that word."
Hindi kaya ako nagtampo.,1,,I couldn't help but think.
Hindi kaya ng bansang magbayad ng kanyang mga utang.,1,,The country is unable to pay his debts.
Hindi kaya ni Jackson na magtiwala sa kanila.,2,,Jackson couldn't trust them.
Hindi kaya ni Jackson na pagkatiwalaan sila.,2,,Jackson couldn't trust them.
Hindi kayo Budista kaya parati ninyong tinatakutang mamatay na. Isip ninyo pong paimpiyerno kayo kasi.,1,,You are not a Buddhist so you always dare to die. Think of it as a pity.
"Hindi kayo naniniwala sa kagandahan, kaya gusto ninyong mamatay na.",1,,"You don't believe in beauty, so you want to die."
"Hindi ko alam kung paano ko ito sasabihin, kaya nanahimik na lang ako.",1,,"I didn't know how to say it, so I just kept quiet."
Hindi ko kaya ang hapding ito.,2,,I can't do it.
Hindi ko kaya ang ingay.,2,,I can't make the noise.
Hindi ko kaya ang init na iyon.,2,,I can't do that heat.
Hindi ko kaya ang init.,2,,I can't afford the heat.
Hindi ko kaya ang kirot na ito.,2,,I can't afford this pain.
Hindi ko kaya ang lamig na ito.,2,,I can't afford this cold.
Hindi ko kaya ang lamig.,2,,I can't afford the cold.
Hindi ko kaya ang sakit na ito.,2,,I can't afford this pain.
Hindi ko kaya ang sakit.,2,,I can't afford the pain.
Hindi ko kaya ang tindi.,2,,I can't do it.
Hindi ko kaya.,2,,I can not do it.
Hindi ko kaya. Kumakain pa ako.,2,,I can not do it. I'm still eating.
Hindi ko na kaya ang hapding ito.,2,,I can't do this anymore.
Hindi ko na kaya ang kirot na ito.,2,,I can't do this pain anymore.
Hindi ko na kaya ang sakit na ito.,2,,I can't do this pain anymore.
Hindi ko na kaya ito.,2,,I can not do this anymore.
Hindi ko na kaya! Tatlong araw na akong hindi natutulog!,2,,I can not take it anymore! I've been sleeping for three days!
Hindi ko na kaya! Tatlong araw na akong walang tulog!,2,,I can not take it anymore! I've been sleeping for three days!
Hindi ko na kaya.,2,,I can not take it anymore.
Hindi mo malalaman kung kaya mo hangga't hindi mo sinusubukan.,2,,You will never know if you can as long as you are not trying.
Hindi mo malalaman kung kaya mo o hindi kung hindi mo susubukan.,2,,You will never know if you can or not if you do not try.
"Hindi na kita mahal, kaya malungkot ako.",1,,"I don't love you anymore, so I'm sad."
"Hindi na nila mahal ang isa't-isa, kaya naghiwalay na sila.",1,,"They do not love each other anymore, so they have separated."
"Hindi nagsasalawal si Stalin, kaya kapag tumutuwad siya, nakikita ang puwet niya.",1,,"Stalin is not a sigh of relief, so when he is on his way, he can see his buttocks."
"Hindi nagsusuot ng salawal si Stalin, kaya kapag tumutuwad siya, nakikita ang puwet niya.",1,,"Stalin didn't wear a brief, so when she was on her way, she could see her buttocks."
"Hindi namin siya tinulungan, kaya ginawa niya mag-isa.",1,,"We didn't help her, so she did."
"Hindi natural ang ganda niya, kaya hindi, hindi siya maganda.",1,,"She's not natural, so no, she's not good."
Hindi ninyo malalaman kung kaya ninyo hangga't hindi ninyo sinusubukan.,2,,You will never know if you can do it until you try.
Hindi ninyo malalaman kung kaya ninyo o hindi kung hindi ninyo susubukan.,2,,You will never know if you can or not if you do not try.
Hindi pa namin kaya iyan.,2,,We can't do that yet.
"Hindi sapat ang gabay ng magulang, kung kaya't mayroong ninong at ninang.",1,,"The parent's guidance is not enough, so there are grandparents."
Hindi sila pumupunta kahit na kaya nila.,2,,They don't go even when they can.
Hulihin mo kaya ako!,1,,Catch me!
Huwag na huwag mong ipagpapabukas ang kaya mo namang gawin sa makalawa.,2,,Never open what you can do for a while.
"Iba ang itsura ng tribo niya, kaya natakot siya.",1,,"His tribe looked different, so he was scared."
Ibang iba na si Tom kaya hinde ko na siya nakilala.,1,,Tom was different so I never met him.
Ikakasal pa kaya ako?,1,,Am I getting married?
ikaw kaya maganda,1,,You are so beautiful
Ikuha mo kaya ako ng isa pang serbesa.,1,,Get me another beer.
Ilang lahi ng aso ang kaya mong pangalanan?,2,,How many dogs can you name?
Ilang lahi ng aso ang kaya ninyong pangalanan?,2,,How many dogs can you name?
"Inabrakadabra nila ang laman ng mga balota, kaya siya nanalo sa botohan.",1,,"They spit out the contents of the ballots, so he won the polls."
Ingles ka nang Ingles kaya nagiging mas aburido ka.,1,,You are English in English so you become more abusive.
Iniisip ko kung ano kaya ang natitirang laman ng ref.,1,,I was wondering what the rest of the refrigerator was.
"Iniwanan ni Tom na nakabukas ang pinto ng ref, kaya ko isinara.",1,,"Tom left the refrigerator open, so I closed it."
"Ipinanganak siya sa Inglatera, kaya siya nagsasalita ng Ingles.",1,,"He was born in England, so he speaks English."
"Isinilang siya sa Inglatera, kaya siya nagsasalita ng Ingles.",1,,"He was born in England, so he speaks English."
"Itay, kaya ba ninyong magtago ng sikreto?",2,,"Dad, can you keep a secret?"
"Itay, kaya mo bang magtago ng sikreto?",2,,"Dad, can you keep a secret?"
"Ito ang unang beses ko, kaya ako kabada.",1,,"This is my first time, so I'm crazy."
"Ito ang unang beses ko, kaya ako kinakabahan.",1,,"This is my first time, so I'm nervous."
"Itong mga araw, iniisip ko ang maaaring kinabukasan ng sangkatauhan. Sasakupin ba tayo ng mga makinang mas matalino sa atin? O kaya, magiging bagong alipin ang makina? Sino ang magiging amo, at sino ang alipin?",1,,"These days, I think of the future of mankind. Will the intelligent machines will cover us? Or, will the machine be a new slave? Who will be the boss, and who is the slave?"
"Kailan tayo kakain, kaya.",1,,"When are we going to eat, so."
"Kailangan kong bumangon nang maaga bukas, kaya plano kong matulog nang maaga mamayang gabi.",1,,"I have to get up early tomorrow, so I plan to go to bed early tonight."
"Kailangan kong makalimot, kaya umiinom ako.",1,,"I have to forget, so I drink."
"Kailangan ninyo ang doktor sa utak, kaya?",1,,"Do you need a brain doctor, so?"
Kakaunti ang bilang ng tamod ni Tom kaya nahihirapan siyang makabuntis.,1,,Tom had a small number of semen so she had a hard time getting pregnant.
Kasingkuripot kaya ni Mary si Tom?,1,,Is Mary so talented to Tom?
Kayang-kaya itong gawin ng kahit sino.,2,,Anyone can do it.
Kayang-kaya ko pong alagaan ang sarili ko.,2,,I can take care of myself.
Kayang-kaya kong alagaan ang sarili ko.,2,,I can take care of myself.
"Kilala ko siya, kaya ko siya hindi pinagkakatiwalaan.",1,,"I know him, so I don't trust him."
Kinailangan kong magtrabaho hanggang gabi kaya ipinagpaliban ko ang aking date.,1,,I had to work until night so I postponed my date.
Kukunin ko ang kaya kong kunin.,2,,I'll get what I can take.
